source_id,pf,pf_error,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,radius_gspphot,ew_espels_halpha,spectraltype_esphs
4664131902745936128,3.524091223879472,1.0322197E-4,5721.978,3.6884,-0.4188,3844.4385,0.0208,2.6121,0.19116998,F
4664233568906334848,1.5977559100560226,2.725365E-5,6095.4707,4.6848,-2.1891,3698.8572,0.0054,0.6569,,
4664701999513624704,1.206972078565893,7.793311E-6,6480.497,4.5774,-2.4976,5367.5977,0.0083,0.7737,,
4664714880120551680,1.3608206640411504,1.3079068E-5,6515.034,4.4866,-1.7162,5481.4556,0.0139,0.8578,,
4664797687089142784,1.5709201235657453,2.6122409E-5,6099.889,4.6778,-1.4009,3810.8328,0.0029,0.6744,,
4303566305876070912,1.022750447773551,2.662707E-5,,,,,,,,
4303770918113986304,6.178911883435623,1.832952E-4,,,,,,,0.05287988,F
5265220955291029632,6.218008657751226,7.287094E-4,5050.8213,4.3492,-1.5228,2302.6777,0.0624,0.9625,0.42540708,A
2932101334643047680,2.5577768400093976,2.5462472E-5,,,,,,,0.09266143,F
2932737092877188352,3.1561815521519203,6.0937917E-5,,,,,,,0.16261855,F
2202086018216877952,2.912720837633718,9.151918E-5,,,,,,,0.09638482,B
2202500843341252736,3.7593683857947013,7.879893E-5,,,,,,,0.13562594,F
4514867250737655296,4.60369168716398,2.924845E-4,,,,,,,,
4514869866387896192,4.842823844141056,4.983922E-4,,,,,,,0.14314912,O
508592954709039488,2.0102362996551,2.1491642E-5,,,,,,,0.15844926,O
2062437424336336256,3.3551944953125306,8.852327E-5,7975.8774,3.6676,-0.3453,1504.0616,8.1494,3.4337,0.35900882,M
5334601998787406464,4.502523158480436,3.3547447E-4,5511.9634,2.9599,-1.2142,1457.3263,9.2377,7.0038,0.20154905,unknown
5334606293754316928,4.9913692741379005,2.853781E-4,6378.191,2.6642,-0.2189,2730.1758,8.2212,13.8358,-0.017467437,M
4043609695124068224,1.8891887390066813,1.0721948E-4,,,,,,,0.013221984,O
4160953188153642496,0.8548649787768746,1.4914231E-5,8216.902,3.3748,-0.0156,1450.8915,3.4797,5.7213,0.2477272,A
4077691914275725440,3.535058156669497,4.2974346E-4,,,,,,,0.1786783,K
4396509638666473856,1.1798913204177661,3.3346587E-5,5897.407,3.584,-2.2218,2558.7952,0.5287,2.3792,0.07805353,F
5308026081150238976,3.435153355861214,7.381764E-5,8459.205,2.8288,-0.037,2670.072,7.1192,13.2214,0.25346923,O
5308083461913826176,4.204416373468929,2.0980483E-4,,,,,,,0.17799397,B
5308104146478024960,5.180188760764185,1.3926924E-4,,,,,,,0.10104442,unknown
5308216021795779328,4.610603445261476,7.994716E-5,6085.6104,2.2736,-0.2784,3390.287,4.4784,24.9802,0.12121093,G
5308459529249789184,3.871712981851754,1.12114256E-4,5675.928,2.6884,-0.8776,3067.0227,5.5567,11.6416,0.16038887,B
5511121271942890496,1.437759944049944,9.321195E-6,6062.6816,3.0056,0.0702,1625.4567,0.3745,8.0872,0.18218341,F
5512785726389838592,1.696450971981487,1.943807E-5,5663.4346,4.3032,-3.9808,2019.0693,0.8669,1.0969,0.32912394,F
4311319782693546624,2.743564496472641,7.400783E-4,3677.04,4.0493,-1.2159,672.8578,2.5033,0.8059,,
4661243790631424640,4.676625820380757,6.677465E-4,5407.7573,3.4083,-1.1011,3483.4502,0.2469,2.9863,0.21700853,G
